#TYPE System.Diagnostics.Process
"Name","SI","Handles","VM","WS","PM","NPM","Path","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","BasePriority","ExitCode","HasExited","ExitTime","Handle","SafeHandle","HandleCount","Id","MachineName","MainWindowHandle","MainWindowTitle","MainModule","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize","NonpagedSystemMemorySize64","PagedMemorySize","PagedMemorySize64","PagedSystemMemorySize","PagedSystemMemorySize64","PeakPagedMemorySize","PeakPagedMemorySize64","PeakWorkingSet","PeakWorkingSet64","PeakVirtualMemorySize","PeakVirtualMemorySize64","PriorityBoostEnabled","PriorityClass","PrivateMemorySize","PrivateMemorySize64","PrivilegedProcessorTime","ProcessName","ProcessorAffinity","Responding","SessionId","StartInfo","StartTime","SynchronizingObject","Threads","TotalProcessorTime","UserProcessorTime","VirtualMemorySize","VirtualMemorySize64","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet","WorkingSet64","Site","Container"
"AcroRd32","1","519","181968896","5644288","10342400","24920","C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroRd32.exe","Adobe Systems Incorporated","2.4375","18.11.20038.267465","18.11.20038.267465","Adobe Acrobat Reader DC ","Adobe Acrobat Reader DC","Process","8",,"False",,"4804","Microsoft.Win32.SafeHandles.SafeProcessHandle","519","14356",".","0","","System.Diagnostics.ProcessModule (AcroRd32.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","24920","24920","10342400","10342400","272528","272528","10436608","10436608","26112000","26112000","191545344","191545344","True","Normal","10342400","10342400","00:00:01.3750000","AcroRd32","255","True","1","System.Diagnostics.ProcessStartInfo","3/14/2018 1:28:34 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:02.4375000","00:00:01.0625000","181968896","181968896","False",,,,"5644288","5644288",,
"AcroRd32","1","2337","609165312","92581888","203264000","70992","C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroRd32.exe","Adobe Systems Incorporated","83.65625","18.11.20038.267465","18.11.20038.267465","Adobe Acrobat Reader DC ","Adobe Acrobat Reader DC","Process","8",,"False",,"2368","Microsoft.Win32.SafeHandles.SafeProcessHandle","2337","15280",".","133524","Windows PowerShell Cookbook, Third Edition - Adobe Acrobat Reader DC","System.Diagnostics.ProcessModule (AcroRd32.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","70992","70992","203264000","203264000","677896","677896","438906880","438906880","336482304","336482304","745828352","745828352","True","Normal","203264000","203264000","00:00:36.8281250","AcroRd32","255","True","1","System.Diagnostics.ProcessStartInfo","3/14/2018 1:28:34 PM",,"System.Diagnostics.ProcessThreadCollection","00:01:23.6562500","00:00:46.8281250","609165312","609165312","False",,,,"92581888","92581888",,
"AppleMobileDeviceService","0","234","166739968","2834432","3842048","20560",,,,,,,,"Process","8",,,,,,"234","3848",".","0","",,,,,"20560","20560","3842048","3842048","240856","240856","3862528","3862528","14057472","14057472","167788544","167788544",,,"3842048","3842048",,"AppleMobileDeviceService",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"166739968","166739968","False",,,,"2834432","2834432",,
"ApplicationFrameHost","1","678","2199344291840","33595392","48398336","36712","C:\WINDOWS\system32\ApplicationFrameHost.exe","Microsoft Corporation","21.140625","10.0.16299.15 (WinBuild.160101.0800)","10.0.16299.15","Application Frame Host","Microsoft? Windows? Operating System","Process","8",,"False",,"1612","Microsoft.Win32.SafeHandles.SafeProcessHandle","678","11116",".","69040","People and Groups and 7 more pages ?- Microsoft Edge","System.Diagnostics.ProcessModule (ApplicationFrameHost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","36712","36712","48398336","48398336","463472","463472","66199552","66199552","49250304","49250304","333701120","2199356956672","True","Normal","48398336","48398336","00:00:13.5312500","ApplicationFrameHost","255","True","1","System.Diagnostics.ProcessStartInfo","3/14/2018 1:43:03 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:21.1406250","00:00:07.6093750","321036288","2199344291840","False",,,,"33595392","33595392",,
"armsvc","0","155","97693696","1835008","1585152","9640",,,,,,,,"Process","8",,,,,,"155","3808",".","0","",,,,,"9640","9640","1585152","1585152","120536","120536","1818624","1818624","7380992","7380992","102715392","102715392",,,"1585152","1585152",,"armsvc",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"97693696","97693696","False",,,,"1835008","1835008",,
"audiodg","0","239","2199140900864","13529088","11698176","14800",,,"123.140625",,,,,"Process","8",,,,,,"239","6012",".","0","",,,,,"14800","14800","11698176","11698176","122000","122000","21389312","21389312","23306240","23306240","124723200","2199147978752",,,"11698176","11698176","00:01:24.4375000","audiodg",,"True","0","System.Diagnostics.ProcessStartInfo","3/14/2018 1:25:46 PM",,"System.Diagnostics.ProcessThreadCollection","00:02:03.1406250","00:00:38.7031250","117645312","2199140900864","False",,,,"13529088","13529088",,
"AuthManSvr","1","490","180912128","9617408","6250496","26456","C:\Program Files (x86)\Citrix\ICA Client\AuthManager\AuthManSvr.exe","Citrix Systems, Inc.","231.171875","12.1.0.8","12.1.0.8","Citrix Authentication Manager","Citrix Receiver","Process","8",,"False",,"3592","Microsoft.Win32.SafeHandles.SafeProcessHandle","490","21288",".","0","","System.Diagnostics.ProcessModule (AuthManSvr.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","26456","26456","6250496","6250496","261696","261696","6848512","6848512","20963328","20963328","188637184","188637184","True","Normal","6250496","6250496","00:01:16.5781250","AuthManSvr","64","True","1","System.Diagnostics.ProcessStartInfo","3/14/2018 1:49:28 PM",,"System.Diagnostics.ProcessThreadCollection","00:03:51.1718750","00:02:34.5937500","180912128","180912128","False",,,,"9617408","9617408",,
"browser_broker","1","1153","2233603858432","26304512","11620352","29144","C:\WINDOWS\system32\browser_broker.exe","Microsoft Corporation","5.828125","11.00.16299.15 (WinBuild.160101.0800)","11.00.16299.15","Browser_Broker","Microsoft? Windows? Operating System","Process","8",,"False",,"4960","Microsoft.Win32.SafeHandles.SafeProcessHandle","1153","12440",".","0","","System.Diagnostics.ProcessModule (browser_broker.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","29144","29144","11620352","11620352","368080","368080","11808768","11808768","33509376","33509376","238800896","2233621794816","True","Normal","11620352","11620352","00:00:03.6406250","browser_broker","255","True","1","System.Diagnostics.ProcessStartInfo","3/14/2018 1:43:04 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:05.8281250","00:00:02.1875000","220864512","2233603858432","False",,,,"26304512","26304512",,
"chrome","1","282","2199905128448","30969856","36118528","24472","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google Inc.","3.921875","64.0.3282.186","64.0.3282.186","Google Chrome","Google Chrome","Process","8",,"False",,"4516","Microsoft.Win32.SafeHandles.SafeProcessHandle","282","7952",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","24472","24472","36118528","36118528","395544","395544","56832000","56832000","44957696","44957696","900747264","2199924002816","True","Normal","36118528","36118528","00:00:00.5937500","chrome","255","True","1","System.Diagnostics.ProcessStartInfo","3/19/2018 10:39:30 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:03.9218750","00:00:03.3281250","881872896","2199905128448","False",,,,"30969856","30969856",,
"chrome","1","214","2199162540032","8265728","2101248","10808","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google Inc.","2.0625","64.0.3282.186","64.0.3282.186","Google Chrome","Google Chrome","Process","8",,"False",,"5076","Microsoft.Win32.SafeHandles.SafeProcessHandle","214","19364",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","10808","10808","2101248","2101248","173296","173296","2125824","2125824","8949760","8949760","139341824","2199162597376","True","Normal","2101248","2101248","00:00:01.6406250","chrome","255","True","1","System.Diagnostics.ProcessStartInfo","3/19/2018 10:39:29 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:02.0625000","00:00:00.4218750","139284480","2199162540032","False",,,,"8265728","8265728",,
"chrome","1","518","2199722098688","73756672","203362304","30656","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google Inc.","285.46875","64.0.3282.186","64.0.3282.186","Google Chrome","Google Chrome","Process","8",,"False",,"4292","Microsoft.Win32.SafeHandles.SafeProcessHandle","518","33804",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","30656","30656","203362304","203362304","596896","596896","413442048","413442048","157872128","157872128","804057088","2199827312640","True","Normal","203362304","203362304","00:01:04.7968750","chrome","255","True","1","System.Diagnostics.ProcessStartInfo","3/19/2018 10:39:29 AM",,"System.Diagnostics.ProcessThreadCollection","00:04:45.4687500","00:03:40.6718750","698843136","2199722098688","False",,,,"73756672","73756672",,
"chrome","1","140","2199157899264","8937472","2043904","10808","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google Inc.","0.140625","64.0.3282.186","64.0.3282.186","Google Chrome","Google Chrome","Process","8",,"False",,"3404","Microsoft.Win32.SafeHandles.SafeProcessHandle","140","34252",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","10808","10808","2043904","2043904","179560","179560","2777088","2777088","9936896","9936896","136740864","2199159996416","True","Normal","2043904","2043904","00:00:00.1093750","chrome","255","True","1","System.Diagnostics.ProcessStartInfo","3/19/2018 10:39:29 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.1406250","00:00:00.0312500","134643712","2199157899264","False",,,,"8937472","8937472",,
"chrome","1","2002","2199812886528","150597632","122388480","90256","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google Inc.","942.625","64.0.3282.186","64.0.3282.186","Google Chrome","Google Chrome","Process","8",,"False",,"3000","Microsoft.Win32.SafeHandles.SafeProcessHandle","2002","35312",".","1972282","aio-region : VIDFX - Google Chrome","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","90256","90256","122388480","122388480","1117720","1117720","142454784","142454784","174514176","174514176","900198400","2199923453952","True","Normal","122388480","122388480","00:05:56.0625000","chrome","255","True","1","System.Diagnostics.ProcessStartInfo","3/19/2018 10:39:29 AM",,"System.Diagnostics.ProcessThreadCollection","00:15:42.6250000","00:09:46.5625000","789630976","2199812886528","False",,,,"150597632","150597632",,
"chrome","1","372","2200023552000","45867008","73957376","42016","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google Inc.","170.765625","64.0.3282.186","64.0.3282.186","Google Chrome","Google Chrome","Process","4",,"False",,"3200","Microsoft.Win32.SafeHandles.SafeProcessHandle","372","36016",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","42016","42016","73957376","73957376","446216","446216","279957504","279957504","309944320","309944320","1169772544","2200193028096","True","Idle","73957376","73957376","00:00:11.2343750","chrome","255","True","1","System.Diagnostics.ProcessStartInfo","3/19/2018 1:40:51 PM",,"System.Diagnostics.ProcessThreadCollection","00:02:50.7656250","00:02:39.5312500","1000296448","2200023552000","False",,,,"45867008","45867008",,
"chrome","1","325","2199925497856","33705984","52764672","31136","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google Inc.","2.921875","64.0.3282.186","64.0.3282.186","Google Chrome","Google Chrome","Process","4",,"False",,"4016","Microsoft.Win32.SafeHandles.SafeProcessHandle","325","37284",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","31136","31136","52764672","52764672","412032","412032","73285632","73285632","104542208","104542208","943726592","2199966982144","True","Idle","52764672","52764672","00:00:00.5156250","chrome","255","True","1","System.Diagnostics.ProcessStartInfo","3/19/2018 1:10:43 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:02.9218750","00:00:02.4062500","902242304","2199925497856","False",,,,"33705984","33705984",,
"chrome","1","276","2199876218880","27152384","29896704","24064","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google Inc.","2.171875","64.0.3282.186","64.0.3282.186","Google Chrome","Google Chrome","Process","8",,"False",,"4540","Microsoft.Win32.SafeHandles.SafeProcessHandle","276","38340",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","24064","24064","29896704","29896704","383240","383240","31690752","31690752","42078208","42078208","857157632","2199880413184","True","Normal","29896704","29896704","00:00:00.4843750","chrome","255","True","1","System.Diagnostics.ProcessStartInfo","3/19/2018 10:39:30 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:02.1718750","00:00:01.6875000","852963328","2199876218880","False",,,,"27152384","27152384",,
"chrome","1","394","2200262250496","191795200","216576000","64184","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google Inc.","1141.25","64.0.3282.186","64.0.3282.186","Google Chrome","Google Chrome","Process","4",,"False",,"2344","Microsoft.Win32.SafeHandles.SafeProcessHandle","394","41260",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","64184","64184","216576000","216576000","679224","679224","285892608","285892608","259858432","259858432","1277386752","2200300642304","True","Idle","216576000","216576000","00:00:10.5625000","chrome","255","True","1","System.Diagnostics.ProcessStartInfo","3/21/2018 1:02:48 PM",,"System.Diagnostics.ProcessThreadCollection","00:19:01.2500000","00:18:50.6875000","1238994944","2200262250496","False",,,,"191795200","191795200",,
"chrome","1","251","2199294476288","14880768","5734400","16312",,,,,,,,"Process","8",,"True",,,,"251","50548",".","0","",,,,,"16312","16312","5734400","5734400","462880","462880","5734400","5734400","14880768","14880768","271220736","2199294476288",,,"5734400","5734400",,"chrome",,"True","1","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"271220736","2199294476288","False",,,,"14880768","14880768",,
"chrome","1","286","2199867326464","25317376","26198016","23248","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google Inc.","0.171875","64.0.3282.186","64.0.3282.186","Google Chrome","Google Chrome","Process","4",,"False",,"4360","Microsoft.Win32.SafeHandles.SafeProcessHandle","286","51800",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","23248","23248","26198016","26198016","408080","408080","26398720","26398720","38563840","38563840","846692352","2199869947904","True","Idle","26198016","26198016","00:00:00.0625000","chrome","255","True","1","System.Diagnostics.ProcessStartInfo","3/23/2018 4:56:59 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.1718750","00:00:00.1093750","844070912","2199867326464","False",,,,"25317376","25317376",,
"chrome","1","346","2199980621824","81571840","64512000","40112","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google Inc.","7.84375","64.0.3282.186","64.0.3282.186","Google Chrome","Google Chrome","Process","8",,"False",,"3228","Microsoft.Win32.SafeHandles.SafeProcessHandle","346","56224",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","40112","40112","64512000","64512000","440928","440928","154005504","154005504","181403648","181403648","1007222784","2200030478336","True","Normal","64512000","64512000","00:00:00.8750000","chrome","255","True","1","System.Diagnostics.ProcessStartInfo","3/23/2018 4:57:31 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:07.8437500","00:00:06.9687500","957366272","2199980621824","False",,,,"81571840","81571840",,
"ChsIME","1","1917","2199381389312","65822720","39546880","346456",,,"96.390625",,,,,"Process","8",,,,,,"1917","3892",".","0","",,,,,"346456","346456","39546880","39546880","471088","471088","39591936","39591936","66768896","66768896","363556864","2199386812416",,,"39546880","39546880","00:00:48.4531250","ChsIME",,"True","1","System.Diagnostics.ProcessStartInfo","3/14/2018 1:27:01 PM",,"System.Diagnostics.ProcessThreadCollection","00:01:36.3906250","00:00:47.9375000","358133760","2199381389312","False",,,,"65822720","65822720",,
